ensemble,d,K,rho,m,tau,n_trials,krylov_P,krylov_mean,krylov_std,nx,ny
GEO2,64,29,0.007080078125,29,0.99,100,1.0,0.9207104413804648,0.013867890383278942,3,2
GEO2,64,30,0.00732421875,30,0.99,100,1.0,0.9345073481908613,0.011517014188698303,3,2
GEO2,64,31,0.007568359375,31,0.99,100,1.0,0.9441138068689362,0.012852276133234225,3,2
GEO2,64,33,0.008056640625,33,0.99,100,1.0,0.9652260780043598,0.006930041413833646,3,2
GEO2,64,41,0.010009765625,41,0.99,100,0.0,0.99863377606879,0.0008269234932723,3,2
GEO2,64,47,0.011474609375,47,0.99,100,0.0,0.9999895559461441,1.3963500621769186e-05,3,2
GEO2,64,53,0.012939453125,53,0.99,100,0.0,0.9999989045655258,6.313363975507609e-07,3,2
GEO2,64,59,0.014404296875,59,0.99,100,0.0,0.9999999005468393,1.2414123916247004e-07,3,2
GEO2,64,61,0.014892578125,61,0.99,100,0.0,0.9999999879321542,1.4553768012317889e-08,3,2
GEO2,64,64,0.015625,64,0.99,100,0.0,1.0,2.9852408677807924e-16,3,2
GEO2,64,70,0.01708984375,64,0.99,100,0.0,1.0,3.234923947455718e-16,3,2
GEO2,64,72,0.017578125,64,0.99,100,0.0,1.0,2.7012892057857037e-16,3,2
GEO2,64,76,0.0185546875,64,0.99,100,0.0,1.0000000000000002,3.1026711450015386e-16,3,2
GEO2,64,82,0.02001953125,64,0.99,100,0.0,1.0,2.8457249041605284e-16,3,2
GEO2,64,88,0.021484375,64,0.99,100,0.0,1.0,3.1538933045953214e-16,3,2
GEO2,64,92,0.0224609375,64,0.99,100,0.0,1.0,3.326966272203901e-16,3,2
GEO2,64,94,0.02294921875,64,0.99,100,0.0,1.0,3.0767402982137023e-16,3,2
GEO2,64,99,0.024169921875,64,0.99,100,0.0,1.0,3.313973885665633e-16,3,2
GEO2,64,102,0.02490234375,64,0.99,100,0.0,1.0,2.9976021664879233e-16,3,2
GEO2,64,105,0.025634765625,64,0.99,100,0.0,1.0,3.4506331720685187e-16,3,2
GEO2,64,111,0.027099609375,64,0.99,100,0.0,1.0,2.685271254787086e-16,3,2
GEO2,64,113,0.027587890625,64,0.99,100,0.0,1.0,2.8887141192996264e-16,3,2
GEO2,64,117,0.028564453125,64,0.99,100,0.0,1.0,2.9686790708185334e-16,3,2
GEO2,64,123,0.030029296875,64,0.99,100,0.0,1.0,2.813051893495439e-16,3,2
GEO2,64,133,0.032470703125,64,0.99,100,0.0,1.0,3.0967063759893227e-16,3,2
GEO2,64,143,0.034912109375,64,0.99,100,0.0,1.0,3.032352210163328e-16,3,2
GEO2,64,154,0.03759765625,64,0.99,100,0.0,1.0,2.6622212897024595e-16,3,2
GEO2,64,164,0.0400390625,64,0.99,100,0.0,1.0,3.114566413465866e-16,3,2
GEO2,64,174,0.04248046875,64,0.99,100,0.0,1.0,3.369302815746326e-16,3,2
GEO2,64,184,0.044921875,64,0.99,100,0.0,1.0,2.9790409838967276e-16,3,2
GEO2,64,195,0.047607421875,64,0.99,100,0.0,1.0,3.3251133250970926e-16,3,2
GEO2,64,205,0.050048828125,64,0.99,100,0.0,1.0,2.634295119309165e-16,3,2
GEO2,64,225,0.054931640625,64,0.99,100,0.0,1.0,2.7194799110210365e-16,3,2
GEO2,64,276,0.0673828125,64,0.99,100,0.0,1.0,3.132324617386636e-16,3,2
GEO2,64,328,0.080078125,64,0.99,100,0.0,1.0,2.862998051573224e-16,3,2
