ensemble,d,K,rho,tau,n_trials,spectral_P,spectral_mean,spectral_std,krylov_P,krylov_mean,krylov_std,moment_P
canonical,8,8,0.125,0.9,200,0.465,0.8014668717808507,0.23841237549027242,0.55,0.7199273327047027,0.3189927824305194,0.07
canonical,8,8,0.125,0.9,200,0.525,0.7920793116550761,0.24592420197085343,0.56,0.7136377658539462,0.32205780807426004,0.095
canonical,8,8,0.125,0.9,200,0.485,0.8030363540783186,0.24158295021630752,0.61,0.7212086349405783,0.3094102049198065,0.115
canonical,8,9,0.140625,0.9,200,0.37,0.8514766715720253,0.22204004110496375,0.475,0.7914346146363554,0.2920125089111152,0.09
canonical,8,9,0.140625,0.9,200,0.405,0.8435630092848708,0.217704117356203,0.485,0.7785657070103111,0.2904408968743429,0.09
canonical,8,10,0.15625,0.9,200,0.275,0.8926353813350351,0.19067907398187828,0.36,0.841702914884277,0.257934118481673,0.065
canonical,8,10,0.15625,0.9,200,0.265,0.9015725828221275,0.1767721284023347,0.375,0.849667353427614,0.24333483587037025,0.045
canonical,8,10,0.15625,0.9,200,0.265,0.8888465914809928,0.2021997701970029,0.385,0.840217171081049,0.26327527014030644,0.07
canonical,8,11,0.171875,0.9,200,0.24,0.9224964826084127,0.153382997191777,0.265,0.8896178419650431,0.2129707461034613,0.04
canonical,8,11,0.171875,0.9,200,0.19,0.9141238552001235,0.17856344642257968,0.26,0.8763614939928209,0.2438984027674372,0.06
canonical,8,12,0.1875,0.9,200,0.13,0.9512692214850883,0.12729313684770566,0.175,0.9289522604190359,0.1803474587165414,0.025
canonical,8,12,0.1875,0.9,200,0.105,0.9580884866126357,0.11138326268782398,0.175,0.9354202235328033,0.1624625256786922,0.02
canonical,8,12,0.1875,0.9,200,0.115,0.9521286091573867,0.14167035069340908,0.175,0.9303972973391978,0.1843758689777812,0.025
canonical,8,13,0.203125,0.9,200,0.08,0.9616022171327012,0.12521848667337035,0.135,0.9440882859531318,0.17021267618301575,0.005
canonical,8,13,0.203125,0.9,200,0.095,0.9435291349763492,0.18463782270581983,0.13,0.928576786538112,0.21970565605488138,0.025
canonical,8,14,0.21875,0.9,200,0.075,0.9728474857088991,0.10809308296524604,0.095,0.9611215967537993,0.14424213854114878,0.0
canonical,8,14,0.21875,0.9,200,0.065,0.9613395166660383,0.14651203891699935,0.09,0.9488291687144417,0.18379655408986734,0.0
canonical,8,16,0.25,0.9,200,0.01,0.9940925355381721,0.05626521345759691,0.02,0.9922043108154653,0.07010463167975618,0.0
canonical,8,18,0.28125,0.9,200,0.02,0.9912412845775697,0.07185764663148773,0.03,0.987722918912687,0.08976368614224128,0.0
canonical,8,20,0.3125,0.9,200,0.01,0.9984036007913119,0.013460452435403085,0.015,0.996991017431958,0.02528035744407411,0.0
canonical,8,22,0.34375,0.9,200,0.01,0.9941240652182433,0.06302788906967863,0.01,0.9922552520089184,0.07946901661236665,0.0
canonical,16,5,0.01953125,0.99,200,1.0,0.29356134326529004,0.1437126415239674,1.0,0.11142994035442318,0.1019501600306251,0.565
